,YTD,6M,1M,Avg Frequency,Total Frequency,,Profitability % YTD,Profitability % 6M,Profitability % 1M,,Profitability AVG
Jan,349,352,360,354,2976,,11.73%,11.83%,12.10%,,11.88%
Feb,522,526,541,530,2874,,18.16%,18.30%,18.82%,,18.43%
Mar,512,516,525,518,2972,,17.23%,17.36%,17.66%,,17.42%
Apr,695,698,713,702,2880,,24.13%,24.24%,24.76%,,24.38%
May,375,382,400,386,2976,,12.60%,12.84%,13.44%,,12.96%
Jun,188,190,197,192,2880,,6.53%,6.60%,6.84%,,6.66%
Jul,90,92,98,93,2976,,3.02%,3.09%,3.29%,,3.14%
Aug,11,11,12,11,2976,,0.37%,0.37%,0.40%,,0.38%
Sep,22,22,25,23,2880,,0.76%,0.76%,0.87%,,0.80%
Oct,312,312,316,313,2976,,10.48%,10.48%,10.62%,,10.53%
Nov,305,305,307,306,2884,,10.58%,10.58%,10.64%,,10.60%
Dec,101,101,106,103,2688,,3.76%,3.76%,3.94%,,3.82%
,,,,,,,,,10.28%,,10.08%
,,,,Total Intervals,34938,,,,,,
,,,,Total Intervals / 4,8734.5,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Yearly Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,STANDARD DEVIATION,,,,,,
Total Frequency,578.3,968.0,1555.7,427.7,,,,,,,
Profitability,6.62%,11.08%,17.81%,4.90%,5.76%,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
January Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,30,89,204,37,,,,,,,
Total Intervals,744.00,744.00,744.00,744.00,,,,,,,
Profitability,4.03%,11.96%,27.42%,4.97%,10.81%,,,,,,
,,,,,,,,,,,
February Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,101,103,273,64,,,,,,,
Total Intervals,696,696,696,696,,,,,,,
Profitability,14.51%,14.80%,39.22%,9.20%,13.44%,,,,,,
,,,,,,,,,,,
March Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,121,87,244,73,,,,,,,
Total Intervals,744,744,744,744,,,,,,,
Profitability,16.26%,11.69%,32.80%,9.81%,10.46%,,,,,,
,,,,,,,,,,,
April Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,144,205,275,89,,,,,,,
Total Intervals,720,720,720,720,,,,,,,
Profitability,20.00%,28.47%,38.19%,12.36%,11.12%,,,,,,
,,,,,,,,,,,
May Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,110,96,109,85,,,,,,,
Total Intervals,744,744,744,744,,,,,,,
Profitability,14.78%,12.90%,14.65%,11.42%,1.59%,,,,,,
,,,,,,,,,,,
June Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,5,98,62,32,,,,,,,
Total Intervals,720,720,720,720,,,,,,,
Profitability,0.69%,13.61%,8.61%,4.44%,5.55%,,,,,,
,,,,,,,,,,,
July Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,0,76,22,0,,,,,,,
Total Intervals,744,744,744,744,,,,,,,
Profitability,0.00%,10.22%,2.96%,0.00%,4.82%,,,,,,
,,,,,,,,,,,
August Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,0,12,0,0,,,,,,,
Total Intervals,744,744,744,744,,,,,,,
Profitability,0.00%,1.61%,0.00%,0.00%,0.81%,,,,,,
,,,,,,,,,,,
September Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,0,17,7,1,,,,,,,
Total Intervals,720,720,720,720,,,,,,,
Profitability,0.00%,2.36%,0.97%,0.14%,1.08%,,,,,,
,,,,,,,,,,,
October Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,44,67,162,43,,,,,,,
Total Intervals,744,744,744,744,,,,,,,
Profitability,5.91%,9.01%,21.77%,5.78%,7.59%,,,,,,
,,,,,,,,,,,
November Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,30,127,137,13,,,,,,,
Total Intervals,720,720,720,720,,,,,,,
Profitability,4.17%,17.64%,19.03%,1.81%,8.93%,,,,,,
,,,,,,,,,,,
December Profitability,12AM-6AM,6AM-12PM,12PM-6PM,6PM-12AM,,,,,,,
Total Frequency,0,18,88,0,,,,,,,
Total Intervals,672,672,672,672,,,,,,,
Profitability,0.00%,2.68%,13.10%,0.00%,6.23%,,,,,,